"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID","Chr","MapInfo","Symbol","Distance_to_TSS","CPG_ISLAND"
"cg04884908",0.0197726641577452,0.153969903365141,3.39020091768115,0.000864501029589217,0.345781277438932,-2.81660172306289,"cg04884908","2",72228348,"CYP26B1",123,TRUE
"cg02449608",-0.0140702334868687,0.863806970113537,-3.38769479973576,0.000871939292342311,0.345781277438932,-2.8246098079168,"cg02449608","19",63178412,"C19orf18",696,FALSE
"cg14181459",-0.00993467924494612,0.0727592663307136,-3.38492330386629,0.000880234879555433,0.345781277438932,-2.83345984421772,"cg14181459","5",135496252,"SMAD5",183,TRUE
"cg00666746",0.0194230935001569,0.250475945832356,3.38261618165513,0.000887196739564961,0.345781277438932,-2.84082218596705,"cg00666746","19",15078781,"SYDE1",433,TRUE
"cg00725635",0.0147993314872462,0.148008189872652,3.38020655524758,0.000894522852816406,0.345781277438932,-2.84850693586031,"cg00725635","1",191422429,"B3GALT2",82,FALSE
"cg00711916",-0.00911573253006664,0.0797541128652845,-3.37815265072827,0.000900812057059816,0.345781277438932,-2.85505343259499,"cg00711916","2",96790001,"CNNM4",606,TRUE
"cg05501584",-0.0280863793654779,0.174041830512852,-3.36859772920203,0.000930617122336875,0.349450391802314,-2.88546236433063,"cg05501584","15",90737310,"ST8SIA2",834,TRUE
"cg13334054",0.0304561133839837,0.76809517237458,3.36666460654036,0.000936758205012621,0.349450391802314,-2.89160541769011,"cg13334054","3",115438905,"ZNF80",309,TRUE
"cg17628717",-0.0111900719326842,0.831800483058277,-3.35055603091386,0.000989423779410656,0.3534217779929,-2.9426746679349,"cg17628717","7",43317733,"HECW1",154,TRUE
"cg06151964",0.0167987737646923,0.228634106199273,3.35012754409203,0.000990861723303819,0.3534217779929,-2.94403016872204,"cg06151964","19",40223257,"HPN",7,TRUE
"cg10252059",-0.00725136526176923,0.0566490839023586,-3.34737564134543,0.00100014335175964,0.3534217779929,-2.95273207162535,"cg10252059","2",203811710,"CYP20A1",52,TRUE
"cg06722216",0.0107101341166129,0.0775216860260751,3.34718804368037,0.00100077902852328,0.3534217779929,-2.95332505300923,"cg06722216","18",30057065,"NOL4",454,TRUE
"cg03835332",-0.00575369461691595,0.0618335101753744,-3.3313227651679,0.00105592460919839,0.364222936278046,-3.00336820894759,"cg03835332","15",41856810,"ELL3",16,TRUE
"cg23130254",0.0147658306916999,0.116979068992025,3.33049798938792,0.00105886755619609,0.364222936278046,-3.00596404463321,"cg23130254","2",176672834,"HOXD12",58,TRUE
"cg18952560",0.0127858510434129,0.0691267612690204,3.32330955228173,0.00108484316888474,0.368373797065144,-3.02856442604976,"cg18952560","20",1823040,"PTPNS1",385,TRUE
"cg25412453",-0.0100397489770691,0.809599012816558,-3.31134206030502,0.00112941058386769,0.371738876279522,-3.06609471937311,"cg25412453","1",153272843,"DCST2",38,FALSE
"cg26685339",-0.00702752508152049,0.0640131721698411,-3.31123333801687,0.00112982318538278,0.371738876279522,-3.06643512790118,"cg26685339","6",12121200,"HIVEP1",643,TRUE
"cg08770869",-0.00595744315330695,0.0443420344872,-3.30797463333211,0.00114225541712033,0.371738876279522,-3.07663353146807,"cg08770869","20",3724303,"CDC25B",83,TRUE
"cg09416313",0.00946170754772322,0.0665509632350595,3.3025777367239,0.00116312592475746,0.371738876279522,-3.09350412538157,"cg09416313","19",3752727,"MATK",83,TRUE
"cg01172899",0.0117096325997555,0.177165789086909,3.29448909095613,0.00119507225762395,0.371738876279522,-3.1187435827969,"cg01172899","2",230641995,"SLC16A14",132,FALSE
"cg24341177",-0.00337578179872356,0.0394081706381381,-3.2924948761248,0.00120307314313675,0.371738876279522,-3.12495785306493,"cg24341177","12",121276459,"DIABLO",93,TRUE
"cg08220793",-0.00311737102536402,0.0391525232992949,-3.29167843232366,0.00120636313156049,0.371738876279522,-3.12750105550928,"cg08220793","3",12501042,"TSEN2",14,TRUE
"cg24673765",0.0274563078886714,0.277747762972011,3.29116068733682,0.0012084538076555,0.371738876279522,-3.12911353005544,"cg24673765","19",40939709,"HSPB6",61,TRUE
"cg05473677",-0.0205856045228304,0.859583621424336,-3.28651961819247,0.00122734597281796,0.371738876279522,-3.14355776292094,"cg05473677","3",197428110,"OSTalpha",330,TRUE
"cg08696890",0.00519028112988181,0.0551259688967214,3.28250802138476,0.00124389709146734,0.371738876279522,-3.15602841105522,"cg08696890","16",55683713,"CPNE2",298,TRUE
"cg12588301",-0.0106925018180141,0.791502741828401,-3.27565591491739,0.00127264927868685,0.371738876279522,-3.17729809287256,"cg12588301","1",150753959,"C1orf42",357,FALSE
"cg20664247",-0.0239864587145992,0.626701035171596,-3.2756363447907,0.00127273227618972,0.371738876279522,-3.17735878443464,"cg20664247","1",2335335,"PEX10",1465,TRUE
"cg00022866",-0.0371449212684536,0.470705864114089,-3.26773223827781,0.00130666900546508,0.371738876279522,-3.20184507264599,"cg00022866","11",63865016,"FLJ37970",745,TRUE
"cg12949975",0.0104747835556944,0.0589020285107135,3.26699370464185,0.00130988260087449,0.371738876279522,-3.2041303192367,"cg12949975","2",20730833,"GDF7",928,TRUE
"cg15201877",0.0257902509203381,0.157336479266545,3.26534692080556,0.00131707479109149,0.371738876279522,-3.20922432219754,"cg15201877","1",71285561,"PTGER3",518,TRUE
"cg02025407",-0.00349451931296343,0.0426257027694529,-3.26483502791647,0.00131931791777826,0.371738876279522,-3.21080729979715,"cg02025407","20",5934831,"C20orf155",48,TRUE
"cg07634191",0.0253098504664653,0.297297240691264,3.25002843926135,0.00138576030759293,0.384432037584438,-3.25650016191758,"cg07634191","8",27906097,"SCARA5",20,TRUE
"cg21184174",0.0130166655483851,0.0788294426393892,3.24563340565188,0.00140607349380142,0.384432037584438,-3.27002777013205,"cg21184174","1",115682737,"NGFB",357,TRUE
"cg00155609",-0.00466622950772945,0.0527450751156209,-3.24507035505242,0.00140869574742669,0.384432037584438,-3.27175962938935,"cg00155609","19",12773527,"PRDX2",167,TRUE
"cg22051865",-0.00557155165574524,0.0487876822824584,-3.24213829627798,0.00142242466522974,0.384432037584438,-3.28077390146357,"cg22051865","11",72696650,"ARHGEF17",667,TRUE
"cg23323711",-0.00276325945486328,0.0323894866700773,-3.22936181662985,0.0014837132951085,0.39615876286614,-3.31996940623248,"cg23323711","1",6181732,"RPL22",534,TRUE
"cg04402021",-0.00667348898562699,0.043077692817594,-3.21385049332188,0.00156141788050964,0.39615876286614,-3.36737033793719,"cg04402021","19",1045921,"POLR2E",415,TRUE
"cg24713204",0.0412841744034272,0.312242103698422,3.21027229147904,0.00157987163836425,0.39615876286614,-3.37827618383046,"cg24713204","19",61711185,"ZNF471",161,TRUE
"cg00582628",-0.0275267264031709,0.406537632752897,-3.20638858834234,0.00160013002633333,0.39615876286614,-3.39010094470708,"cg00582628","8",54927068,"RGS20",147,FALSE
"cg22374142",0.0108185873010855,0.0885951950691741,3.20431788511568,0.00161102966830879,0.39615876286614,-3.39640044512515,"cg22374142","16",65756226,"HSF4",9,TRUE
"cg16270990",-0.0137616728412675,0.739444544832366,-3.20379545231821,0.00161379048650476,0.39615876286614,-3.39798922088251,"cg16270990","11",130048107,"C11orf44",46,FALSE
"cg07537523",-0.00608410042828729,0.0797380546568822,-3.2016549555467,0.00162514795923694,0.39615876286614,-3.40449630443991,"cg07537523","12",24993578,"BCAT1",79,TRUE
"cg26581729",-0.0373471767635895,0.398098964243203,-3.19858120194151,0.00164158711445382,0.39615876286614,-3.41383371838894,"cg26581729","9",139059613,"NPDC1",863,TRUE
"cg08434547",-0.00866032518917175,0.0542439377247671,-3.19635735400374,0.00165357685838555,0.39615876286614,-3.42058432905923,"cg08434547","17",37526427,"GCN5L2",445,FALSE
"cg13246654",-0.00482674396602244,0.0431657902271658,-3.19593957500684,0.00165583833726196,0.39615876286614,-3.42185205417528,"cg13246654","4",114902062,"CAMK2D",115,TRUE
"cg10452522",-0.00780463543050933,0.0853096969888595,-3.19414791836265,0.00166556933884553,0.39615876286614,-3.42728705757865,"cg10452522","19",39355384,"LSM14A",73,TRUE
"cg10819446",-0.00425787060854414,0.0505772108005129,-3.19349737193379,0.00166911575674354,0.39615876286614,-3.42925982439646,"cg10819446","16",66251120,"PARD6A",1243,TRUE
"cg04879235",-0.0106785576276584,0.842296997981851,-3.1918877613005,0.00167792059948361,0.39615876286614,-3.43413939545737,"cg04879235","17",39374388,"PPY",160,FALSE
"cg08840010",-0.0179144865044785,0.286310197857544,-3.1889408204366,0.00169415264377627,0.39615876286614,-3.44306744469573,"cg08840010","1",7922901,"TNFRSF9",573,FALSE
"cg24926780",0.0269544229350851,0.610669612892487,3.18392669960039,0.00172210614362129,0.39615876286614,-3.45824136302076,"cg24926780","19",15699895,"OR10H2",41,TRUE
"cg12434258",-0.00437783315433242,0.0412414138695163,-3.17600989375183,0.00176711428853941,0.39615876286614,-3.48215623763747,"cg12434258","19",12582799,"FLJ90396",46,TRUE
"cg09176995",-0.0048488351946135,0.0497862649100191,-3.17304049749113,0.00178427519613189,0.39615876286614,-3.49111244335479,"cg09176995","5",68425605,"SLC30A5",31,TRUE
"cg03003745",-0.0201372997881258,0.828403738694365,-3.16605116044654,0.00182528005651033,0.39615876286614,-3.51216402923643,"cg03003745","19",47640007,"UNQ473",1031,FALSE
"cg02915837",0.00979306600552389,0.0837960671816868,3.16215060346145,0.00184854176316121,0.39615876286614,-3.52389436184169,"cg02915837","12",2939504,"TEAD4",747,TRUE
"cg08427977",-0.0299175815981492,0.478961004737235,-3.1583237949477,0.00187163036806594,0.39615876286614,-3.53539038391214,"cg08427977","10",49993838,"C10orf72",273,TRUE
"cg24859228",-0.0071464110502122,0.0560287871652822,-3.15717738593375,0.0018785989316699,0.39615876286614,-3.53883186800202,"cg24859228","10",12431841,"CAMK1D",252,TRUE
"cg09848074",-0.0153004409077088,0.226806587656159,-3.15689522493955,0.00188031775838659,0.39615876286614,-3.53967873571139,"cg09848074","7",138823150,"FLJ44186",1192,FALSE
"cg23743472",0.0158612188154008,0.820054033345852,3.15623596669332,0.00188433941119186,0.39615876286614,-3.54165714635972,"cg23743472","11",125154444,"C11orf38",520,FALSE
"cg25218351",-0.0135841158637901,0.782892317311731,-3.15608626960461,0.00188525371324384,0.39615876286614,-3.54210633070495,"cg25218351","2",27358950,"TRIM54",154,FALSE
"cg16749930",0.00315466814870315,0.0387898966213825,3.15598694608153,0.00188586057642698,0.39615876286614,-3.54240435255052,"cg16749930","11",71387626,"IL18BP",39,FALSE
"cg16293088",-0.00773159159206518,0.0674943381838252,-3.15476958318461,0.00189331333762962,0.39615876286614,-3.54605639042026,"cg16293088","22",28329326,"NF2",239,TRUE
"cg11577097",-0.0363663132314575,0.464939639357724,-3.15441465319532,0.00189549136982749,0.39615876286614,-3.54712092905754,"cg11577097","15",56217974,"AQP9",203,FALSE
"cg19282250",-0.0118301886425018,0.835714673697056,-3.15080137378715,0.00191779677418135,0.39615876286614,-3.55795213073314,"cg19282250","9",78518342,"KIAA0367",116,FALSE
"cg01277844",-0.00804780212572858,0.0720125217848711,-3.14919388075164,0.00192779803881229,0.39615876286614,-3.56276720936876,"cg01277844","1",153201358,"PYGO2",476,TRUE
"cg15408407",-0.00678719884152636,0.0349809601636001,-3.14918346297424,0.00192786301186749,0.39615876286614,-3.56279840759273,"cg15408407","19",1389438,"RPS15",75,TRUE
"cg15113803",-0.00926410530055709,0.863678366339294,-3.14892264769622,0.00192949031223031,0.39615876286614,-3.56357944375844,"cg15113803","3",130729809,"RHO",363,FALSE
"cg25358289",0.0250374355746672,0.233174658538531,3.14406552553586,0.00196002867198138,0.396343950907355,-3.57811401408238,"cg25358289","5",139992912,"CD14",43,TRUE
"cg13398291",0.0134736843196625,0.105379835573565,3.14377946698134,0.00196184109966052,0.396343950907355,-3.57896939847298,"cg13398291","8",41285326,"SFRP1",NA,TRUE
"cg10164686",-0.00676484920154833,0.0581008612521973,-3.14166518244119,0.00197528511363629,0.396343950907355,-3.58528946792207,"cg10164686","6",2916949,"SERPINB6",140,TRUE
"cg13590277",-0.0178725114663157,0.497016254421239,-3.13723386524034,0.00200373952079017,0.3988594449671,-3.59852335453013,"cg13590277","5",149999689,"SYNPO",744,FALSE
"cg11965370",0.0231077746229307,0.127236595982569,3.13462096339354,0.00202069484677634,0.3988594449671,-3.60631882795293,"cg11965370","11",131286156,"HNT",234,TRUE
"cg18780284",-0.0172286121554129,0.722217127710327,-3.13004306703816,0.00205072168561181,0.3988594449671,-3.61996278975435,"cg18780284","1",151270946,"SPRR1B",643,FALSE
"cg22939715",-0.00333266132784347,0.044041558141186,-3.12717202624836,0.00206976321922629,0.3988594449671,-3.62851055183254,"cg22939715","1",153491999,"C1orf2",101,TRUE
"cg08603768",-0.0156392605671202,0.702969227223858,-3.1266315474255,0.00207336606958417,0.3988594449671,-3.63011890037743,"cg08603768","5",137447943,"WNT8A",365,FALSE
"cg00400263",-0.00884482667189325,0.907991911674636,-3.1259111509765,0.0020781772787684,0.3988594449671,-3.63226225887893,"cg00400263","20",57947596,"C20orf177",1355,TRUE
"cg24287460",-0.00857139165976212,0.880014157880607,-3.11975917402831,0.00211968633738912,0.39947866625534,-3.65054794165344,"cg24287460","3",130230716,"CCDC48",1266,TRUE
"cg23301687",0.0223458353139281,0.332846321714364,3.1178643714524,0.00213262473578692,0.39947866625534,-3.65617342775634,"cg23301687","1",111963591,"RAP1A",337,TRUE
"cg26289880",-0.00517402464183815,0.0564002559815827,-3.11579363822422,0.00214684795579645,0.39947866625534,-3.66231774092647,"cg26289880","21",32573383,"C21orf45",136,TRUE
"cg11748006",-0.0076841730068856,0.0718922696743225,-3.10638002848452,0.00221261970423208,0.39947866625534,-3.69020393335939,"cg11748006","19",41322397,"CAPNS1",361,TRUE
"cg04809787",0.0105113005481156,0.0968756984407489,3.10607799718642,0.00221476047897327,0.39947866625534,-3.69109739917013,"cg04809787","17",7289063,"CHRNB1",67,TRUE
"cg05832051",-0.0071951725057942,0.0817931607518348,-3.10091868097629,0.00225162626867828,0.39947866625534,-3.70634762778305,"cg05832051","19",59061281,"MYADM",142,TRUE
"cg19703628",0.00554967750853098,0.0624020726392167,3.10077701947277,0.0022526464617206,0.39947866625534,-3.70676603964347,"cg19703628","1",149638568,"PSMB4",97,TRUE
"cg26212924",-0.00463654678421266,0.0512299598091119,-3.09809700960248,0.00227202755221197,0.39947866625534,-3.71467850137655,"cg26212924","8",145222427,"CYC1",440,TRUE
"cg13255629",-0.00997748969793682,0.845626680937167,-3.09790989598082,0.00227338644405721,0.39947866625534,-3.71523070694364,"cg13255629","4",88971684,"MEPE",1478,FALSE
"cg03294619",-0.00421877824561291,0.0503548939510998,-3.09717893839614,0.00227870214249003,0.39947866625534,-3.71738760659153,"cg03294619","5",172594409,"NKX2-5",459,TRUE
"cg26823505",-0.0226758546229416,0.551504444952303,-3.09667135799788,0.00228240014239693,0.39947866625534,-3.71888509981197,"cg26823505","6",35873567,"CLPS",487,FALSE
"cg14163776",0.0130893629477917,0.211951512945977,3.09325662392403,0.00230742282859146,0.39947866625534,-3.72895373451893,"cg14163776","3",196645869,"CENTB2",828,FALSE
"cg21252483",0.0361112788779248,0.520429345583042,3.09225106169077,0.00231483960594251,0.39947866625534,-3.7319168244648,"cg21252483","19",54091600,"NUCB1",37,TRUE
"cg04970352",-0.0109388352855905,0.0667942013861462,-3.08942626263168,0.00233579261183121,0.39947866625534,-3.74023604232779,"cg04970352","11",44283975,"ALX4",NA,TRUE
"cg09039163",-0.0244225887856946,0.362309969949696,-3.08915808078312,0.00233779093445749,0.39947866625534,-3.74102550142356,"cg09039163","2",238673775,"LOC339768",10,TRUE
"cg26336164",-0.00542666154122691,0.0331429262214975,-3.08771178052877,0.00234859510276547,0.39947866625534,-3.74528198286373,"cg26336164","19",4742680,"FEM1A",90,TRUE
"cg26706070",-0.00403951363956569,0.0508988231305559,-3.08644701251273,0.00235808096438599,0.39947866625534,-3.7490027488024,"cg26706070","16",31027437,"BCKDK",214,TRUE
"cg13436343",-0.00299041852277674,0.0352251334449067,-3.08505950889754,0.00236852804473261,0.39947866625534,-3.75308301417768,"cg13436343","1",31311019,"PUM1",132,TRUE
"cg10922622",-0.00976597901406134,0.045392565998047,-3.08395044071122,0.00237690938986239,0.39947866625534,-3.75634329552835,"cg10922622","9",107249974,"FSD1NL",299,TRUE
"cg04453065",0.00957368938988325,0.0692516445966262,3.08217289657276,0.00239039961928763,0.39947866625534,-3.76156647649962,"cg04453065","1",85819249,"CYR61",201,TRUE
"cg26394737",-0.00754621563831068,0.0775847317751143,-3.08115729967706,0.00239813893885823,0.39947866625534,-3.76454952073682,"cg26394737","14",22136921,"ABHD4",66,TRUE
