"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID","CHR","MAPINFO","UCSC_RefGene_Name","UCSC_CpG_Islands_Name"
"cg18508525",-0.0176963520259173,0.811405213541324,-4.93806629347943,1.15132995254147e-06,0.00102854883688829,2.78830381665185,"cg18508525","7",80230062,"CD36",""
"cg13002506",-0.0283727291119199,0.69982467284403,-4.91234949208039,1.30350896622067e-06,0.00109548713717887,2.66845467975486,"cg13002506","11",76998821,"GDPD4",""
"cg02245418",-0.0218024766092339,0.757506305378394,-4.91070901408637,1.31384880928144e-06,0.00109548713717887,2.66082835094639,"cg02245418","1",145609675,"POLR3C;RNF115","chr1:145610679-145611143"
"cg08826839",-0.0264688718570804,0.638769762088247,-4.89961215143965,1.38590003544747e-06,0.00111828720924784,2.60930021177566,"cg08826839","2",163100125,"FAP",""
"cg22805632",-0.022520882085023,0.801721061691812,-4.89204170744948,1.43722716535274e-06,0.00112346250981667,2.57420643168887,"cg22805632","17",38978827,"KRT10;TMEM99",""
"cg04070847",0.0245873631047617,0.192272947848964,4.82596075857877,1.97030219073133e-06,0.00141175024417822,2.26993208599537,"cg04070847","3",112693867,"CD200R1;CD200R1;CD200R1;CD200R1;CD200R1;CD200R1;CD200R1;CD200R1",""
"cg16537367",-0.0243319408536445,0.629274547825068,-4.82231717373654,2.00466907208649e-06,0.00141175024417822,2.25326227642747,"cg16537367","20",16729319,"OTOR",""
"cg00429618",-0.0144366926578471,0.111340753759017,-4.82041403926626,2.02284878586413e-06,0.00141175024417822,2.24455968990652,"cg00429618","9",99962350,"ZNF322B","chr9:99962136-99962426"
"cg13523386",-0.0288002229429726,0.680935562137634,-4.81948484680345,2.03178255338675e-06,0.00141175024417822,2.24031182513094,"cg13523386","4",71457838,"AMBN",""
"cg01803059",0.0190034977514948,0.208059584165272,4.79344716081563,2.29817140220353e-06,0.00155368809337079,2.12157621123485,"cg01803059","4",146402404,"SMAD1","chr4:146402870-146403983"
"cg18015044",0.0296414418080933,0.173946642700607,4.77597601030259,2.49545990204281e-06,0.00160099593103856,2.04222752063057,"cg18015044","6",30538844,"ABCF1;ABCF1","chr6:30538983-30539487"
"cg24278076",-0.0221148056380459,0.770238223759352,-4.77507120594531,2.50610955658904e-06,0.00160099593103856,2.03812522888733,"cg24278076","3",142340931,"PLS1;PLS1",""
"cg12958813",-0.0283650093586881,0.702232205722131,-4.76863388946642,2.58315148404714e-06,0.00160099593103856,2.00895915533695,"cg12958813","1",198509669,"ATP6V1G3;ATP6V1G3",""
"cg23599056",-0.0124684776175076,0.803232471112203,-4.76528211416218,2.62416379517794e-06,0.00160099593103856,1.99378693075671,"cg23599056","10",75194385,"ZMYND17",""
"cg06466479",0.0124445379157745,0.864180825967517,4.74694360593851,2.85989651484639e-06,0.00170238379115444,1.91094447203282,"cg06466479","5",34919428,"BRIX1","chr5:34915293-34916240"
"cg04059714",-0.00546582120023819,0.057406600302501,-4.73548985563304,3.01733760853024e-06,0.00170238379115444,1.85934839280238,"cg04059714","12",124155594,"TCTN2;TCTN2","chr12:124155578-124156171"
"cg13243219",0.00766334212767302,0.0892978141702732,4.73378178777731,3.04151997748994e-06,0.00170238379115444,1.85166357360857,"cg13243219","3",169381522,"MECOM;MECOM","chr3:169379437-169381056"
"cg05924191",0.0360178353288099,0.543932104043261,4.73230517347466,3.06257578164028e-06,0.00170238379115444,1.84502209635512,"cg05924191","15",35279830,"ZNF770","chr15:35280393-35280837"
"cg04126335",0.01894091553459,0.729904544384959,4.72386993090766,3.18557544863568e-06,0.00173226052765593,1.80711789251993,"cg04126335","1",145525223,"ITGA10",""
"cg24249775",-0.0275194843284619,0.673299774655189,-4.6988667249744,3.57874069124448e-06,0.00190465148193169,1.69512105153973,"cg24249775","17",38978344,"KRT10;TMEM99",""
"cg26333641",-0.018497147701662,0.80636399828053,-4.68280234576596,3.85555422390652e-06,0.00198280620687282,1.62344541302762,"cg26333641","12",68647015,"IL22",""
"cg25892041",-0.0183288960783638,0.739963351101256,-4.68120796917247,3.88412505543969e-06,0.00198280620687282,1.61634369007723,"cg25892041","4",115544155,"UGT8;UGT8",""
"cg17701886",0.00798310596303793,0.0797881007624548,4.64321036605574,4.62852447237361e-06,0.00231555822303907,1.44773695139803,"cg17701886","3",182970833,"MCF2L2;B3GNT5","chr3:182971429-182972635"
"cg04759756",0.0174054482005296,0.714641466912181,4.61130089628078,5.35791488140507e-06,0.00260349792313494,1.30710062607069,"cg04759756","20",35273933,"SLA2;SLA2",""
"cg06059810",-0.0153195979741602,0.801497222547456,-4.6090942208767,5.41224482301978e-06,0.00260349792313494,1.29740732701849,"cg06059810","4",71587722,"RUFY3;RUFY3;RUFY3;RUFY3;RUFY3",""
"cg21130374",0.0113198550686327,0.0902789932471289,4.59882534226317,5.6721121130151e-06,0.00265950999677069,1.25235407631479,"cg21130374","21",42734266,"MX2",""
"cg24579667",-0.0138650137566587,0.731635820673825,-4.59356567023183,5.80981598662255e-06,0.00265950999677069,1.22931310126346,"cg24579667","2",157280411,"",""
"cg06940574",0.00889053666974543,0.897337528406382,4.59214165084576,5.84764731040169e-06,0.00265950999677069,1.22307900930284,"cg06940574","1",6297128,"ICMT","chr1:6295528-6296261"
"cg03835158",0.026888831840598,0.810543471009037,4.57998660260902,6.18033922782505e-06,0.00272114926963562,1.16993743995216,"cg03835158","8",52773607,"PCMTD1",""
"cg04732193",-0.0138666554400841,0.777008480790814,-4.57926157186433,6.20074791593629e-06,0.00272114926963562,1.16677164017396,"cg04732193","1",209858581,"HSD11B1",""
"cg01324261",-0.0146059692896936,0.748938519046308,-4.5537219550188,6.96240723665382e-06,0.00300271818306308,1.05554332164516,"cg01324261","4",174320378,"SCRG1;SCRG1",""
"cg12081743",0.018050436850438,0.132383907219029,4.547860175549,7.14948733099121e-06,0.00303114027283753,1.03009381194924,"cg12081743","7",18535499,"HDAC9;HDAC9;HDAC9;HDAC9;HDAC9",""
"cg22997415",-0.0174595143015073,0.727925380312776,-4.54390873216696,7.27831111698842e-06,0.00303432790467247,1.01295493738318,"cg22997415","1",111971020,"OVGP1",""
"cg10766289",-0.0150508091958063,0.752254192870741,-4.53134415275412,7.70291031721228e-06,0.0031586983389303,0.958547208420075,"cg10766289","12",53073506,"KRT1",""
"cg03087937",-0.0118277602019664,0.819304950463872,-4.52734644990501,7.84292014519896e-06,0.00316423878245172,0.941264740609466,"cg03087937","11",26593556,"MUC15;MUC15;ANO3;MUC15",""
"cg16729794",-0.0182479584277783,0.618933268232342,-4.5075345100122,8.57359394781172e-06,0.00340332608085115,0.855819469693275,"cg16729794","3",39509195,"MOBP;MOBP;MOBP",""
"cg14789590",-0.0145831111990476,0.799512890311288,-4.50407667109519,8.70763848942488e-06,0.00340332608085115,0.840941213518311,"cg14789590","22",32853844,"BPIL2",""
"cg18982568",-0.0214342388927722,0.685068958498475,-4.48702075672667,9.39876499175086e-06,0.00361693396159471,0.767705006949745,"cg18982568","12",53097169,"KRT77",""
"cg04799664",-0.0276965691271042,0.672326519820457,-4.47676138749005,9.83950373648368e-06,0.00372917191612732,0.723773697078057,"cg04799664","16",57053850,"NLRC5",""
"cg27351358",0.0187936355526147,0.162163999823127,4.47252687377894,1.00271350746247e-05,0.00374356353368151,0.705667804849886,"cg27351358","11",27743258,"BDNF;BDNF;BDNF;BDNF;BDNF","chr11:27743472-27744564"
"cg03943509",-0.0122756953545967,0.863294330896409,-4.46152339184706,1.0530871582526e-05,0.00383822843039017,0.658691880957706,"cg03943509","11",64529061,"PYGM;PYGM","chr11:64532936-64533763"
"cg08950375",-0.0179017523137355,0.662199451096067,-4.45836488661325,1.06798903753122e-05,0.00383822843039017,0.645227021624788,"cg08950375","2",238323400,"COL6A3;COL6A3;COL6A3;COL6A3;COL6A3",""
"cg26757793",-0.0194827578026876,0.753201329495844,-4.45708132676491,1.07410246312989e-05,0.00383822843039017,0.639757616895514,"cg26757793","11",102496159,"MMP20",""
"cg27185377",0.0118143417006842,0.13107687021127,4.43526044934093,1.18330795533902e-05,0.00402654549821279,0.546994950512305,"cg27185377","5",159848780,"PTTG1","chr5:159848779-159849113"
"cg08578023",0.027053597294161,0.278437464784852,4.43178289179566,1.20166608188978e-05,0.00402654549821279,0.532249709807138,"cg08578023","1",150738173,"CTSS;CTSS",""
"cg11394785",-0.0104290503236997,0.0970835104657219,-4.43040859417532,1.20899598771164e-05,0.00402654549821279,0.526425427531818,"cg11394785","5",179221090,"LTC4S","chr5:179222608-179223825"
"cg13109289",-0.0175946441180088,0.737945867642767,-4.42681630803586,1.22835851196943e-05,0.00402654549821279,0.511209046826771,"cg13109289","7",7274782,"C1GALT1",""
"cg03415518",-0.0135590907443374,0.733913052443702,-4.42312619106318,1.24855743253568e-05,0.00402654549821279,0.49558994688431,"cg03415518","12",97885729,"RMST;MIR1251",""
"cg18184219",-0.0263192654648208,0.661721557084584,-4.42080795754901,1.26140923559251e-05,0.00402654549821279,0.485783650282469,"cg18184219","1",243388524,"CEP170;CEP170;CEP170",""
"cg05088512",0.0178739567539986,0.155883787718389,4.41829185967343,1.27550130457524e-05,0.00402654549821279,0.475145660664817,"cg05088512","19",49866817,"DKKL1;TEAD2","chr19:49866752-49867209"
"cg14178895",0.0205517462797692,0.22914809751065,4.41374758932541,1.30133558473693e-05,0.00402654549821279,0.455946566106382,"cg14178895","6",11778902,"C6orf105;C6orf105",""
"cg18813928",-0.0111025835705936,0.915293108597062,-4.41362591733565,1.30203413340388e-05,0.00402654549821279,0.455432760813109,"cg18813928","1",25234506,"RUNX3;RUNX3","chr1:25234428-25234807"
"cg00629585",0.0206993383894701,0.203774985780478,4.41361501554444,1.30209674077922e-05,0.00402654549821279,0.455386724567918,"cg00629585","9",135853992,"GFI1B;GFI1B",""
"cg00113020",-0.0218554178108857,0.756191973556234,-4.41330634724985,1.30387057389956e-05,0.00402654549821279,0.454083318427944,"cg00113020","19",55173482,"LILRB4;LILRB4",""
"cg19471399",-0.0246321371992381,0.699847883079269,-4.40825547199349,1.33322738390008e-05,0.0040405536351956,0.432766884186927,"cg19471399","12",514252,"CCDC77;CCDC77;CCDC77;CCDC77","chr12:510523-510791"
"cg12368241",0.0238951327418811,0.719742402613708,4.40625067214479,1.34505429223329e-05,0.0040405536351956,0.424312091473363,"cg12368241","6",64355267,"PHF3",""
"cg12177677",0.0122143757258202,0.111656944370149,4.40339528152321,1.36207263597882e-05,0.0040405536351956,0.412276161840825,"cg12177677","2",158300475,"CYTIP",""
"cg08096038",0.0324466097380707,0.67467862878356,4.40157660466225,1.37301934513323e-05,0.0040405536351956,0.404613846358524,"cg08096038","6",99861729,"SFRS18;SFRS18",""
"cg11920519",-0.010437896057434,0.884339995151578,-4.39769137249562,1.39668759212247e-05,0.00406162252187418,0.388254517967827,"cg11920519","20",33135025,"MAP1LC3A",""
"cg00554702",0.0251010215024125,0.237893748522633,4.3938108242102,1.42071687249692e-05,0.00406162252187418,0.371928031156388,"cg00554702","11",125496645,"CHEK1;CHEK1;CHEK1","chr11:125495233-125495866"
"cg24734575",-0.0155330835392647,0.845947333267193,-4.39250508167384,1.4288909487684e-05,0.00406162252187418,0.366437377760001,"cg24734575","19",33360626,"SLC7A9;SLC7A9;SLC7A9;SLC7A9",""
"cg11970301",0.00439062078003393,0.0435107273799139,4.38208048046213,1.49578369073391e-05,0.00416843077087706,0.322655145523221,"cg11970301","16",30087888,"PPP4C","chr16:30087236-30087842"
"cg01991150",0.00837750732461097,0.8810363631625,4.38146959416113,1.49979519220811e-05,0.00416843077087706,0.320092424269736,"cg01991150","11",46407677,"CHRM4","chr11:46406904-46407441"
"cg12014368",-0.021172466084667,0.590427021600997,-4.36411889245279,1.61812749641289e-05,0.00443104997968022,0.247440581369908,"cg12014368","21",33664211,"MRAP;MRAP",""
"cg00600684",-0.0171075952872009,0.775921231624176,-4.36248583821026,1.62971375282074e-05,0.00443104997968022,0.240616084677745,"cg00600684","10",122610158,"WDR11","chr10:122610678-122611052"
"cg05393484",-0.0246738705751286,0.690888074631983,-4.35855335368134,1.65794064436881e-05,0.00445932551378939,0.22419187083864,"cg05393484","11",6818466,"OR6A2",""
"cg00410898",0.0240395252630644,0.216925154147253,4.34806816452626,1.73550606984077e-05,0.00460301036951393,0.18046595073019,"cg00410898","8",23712355,"STC1",""
"cg26361780",-0.0173575161705751,0.806645556824493,-4.34565311464537,1.75385718572992e-05,0.00460301036951393,0.170408178624214,"cg26361780","3",148545789,"CPB1",""
"cg12107692",0.00490738569306795,0.0434127362695759,4.342202033397,1.78040308186621e-05,0.00460301036951393,0.156044569178023,"cg12107692","19",50168026,"IRF3;BCL2L12;BCL2L12","chr19:50167690-50168198"
"cg23431988",0.0121670078692474,0.819854013754784,4.34161348045243,1.78496844104442e-05,0.00460301036951393,0.153596014761851,"cg23431988","8",22132563,"PIWIL2;PIWIL2","chr8:22132791-22133357"
"cg17088290",0.00773450685258545,0.833169816739845,4.3375771112545,1.81658122293364e-05,0.00463673088882265,0.136811680921625,"cg17088290","12",53818182,"AMHR2;AMHR2;AMHR2",""
"cg23404467",-0.0113270854981843,0.803938033474745,-4.31869921704831,1.97167498566451e-05,0.00498176546377899,0.0585012972002126,"cg23404467","19",55235973,"KIR3DL3",""
"cg18084791",-0.0195108841095569,0.824368095251369,-4.30924478997465,2.05402874649752e-05,0.00513794750648891,0.0193990645368807,"cg18084791","1",159797320,"SLAMF8",""
"cg13064571",0.0254372102895138,0.294453203412745,4.30306578433251,2.10961689760912e-05,0.00522474822542521,-0.00611418147463105,"cg13064571","8",67587053,"C8orf44",""
"cg16468729",0.0246307339404926,0.263508938078195,4.28229531829818,2.30720278625233e-05,0.00565807553875644,-0.0916306611849471,"cg16468729","4",74606465,"IL8",""
"cg24832140",0.0134812662267775,0.0969018025292145,4.27864789644791,2.34367642931253e-05,0.0056917206022159,-0.106608840818243,"cg24832140","19",48774411,"ZNF114","chr19:48775008-48775341"
"cg10100220",-0.0121199731245684,0.773202351896136,-4.27395611325372,2.39140379676581e-05,0.00573910310644457,-0.125858540841568,"cg10100220","13",28155884,"LNX2",""
"cg26049501",0.0261735081125726,0.221323338111905,4.27224169509172,2.40907422314176e-05,0.00573910310644457,-0.132887729383306,"cg26049501","13",33860056,"STARD13",""
"cg16907488",-0.023771623869529,0.709680701609253,-4.2586913941705,2.55319022434932e-05,0.00602504719545981,-0.188353767108701,"cg16907488","1",46090169,"CCDC17","chr1:46088194-46089142"
"cg09572685",-0.0262613948914246,0.686934992453874,-4.25629732391898,2.57949357481662e-05,0.00603022918508999,-0.198136759748261,"cg09572685","17",56293543,"MKS1;MKS1","chr17:56296488-56296842"
"cg24196046",0.0157439057218293,0.165553923184241,4.24014715012708,2.76381036433144e-05,0.0064012918938321,-0.264000332134525,"cg24196046","1",36396054,"EIF2C3;EIF2C3","chr1:36396249-36397262"
"cg17792192",-0.0172690903582661,0.852677995702471,-4.23283187208764,2.85137244864624e-05,0.00654350737893917,-0.293758012964235,"cg17792192","9",138774526,"CAMSAP1",""
"cg24596472",-0.006940844153509,0.118721637032563,-4.22669370771687,2.92688097408486e-05,0.00664410227822332,-0.318691013486252,"cg24596472","8",144417263,"TOP1MT","chr8:144416712-144417054"
"cg10501629",0.019277222089404,0.743400266043598,4.22497761335794,2.94833034653709e-05,0.00664410227822332,-0.325655796066815,"cg10501629","12",90049560,"ATP2B1;ATP2B1",""
"cg01909921",0.0125335086685324,0.0939083192044047,4.21914573915201,3.02234887723983e-05,0.00675009239422118,-0.349305131096171,"cg01909921","9",135854246,"GFI1B;GFI1B",""
"cg07981495",-0.0143055726710346,0.765639048991267,-4.20584087638152,3.19790613335745e-05,0.00707897557697373,-0.403146722696974,"cg07981495","6",87804765,"CGA;CGA",""
"cg22325572",0.00949630643780591,0.0928719167420781,4.19508380179336,3.34691240518518e-05,0.00732120330795262,-0.44656399425414,"cg22325572","1",111416181,"CD53;CD53",""
"cg09212058",-0.022540767438242,0.728450063040766,-4.19374818936849,3.36586863522248e-05,0.00732120330795262,-0.451947620225965,"cg09212058","2",37543459,"PRKD3",""
"cg03301801",-0.013504487434586,0.798654205161212,-4.19067284426056,3.40990666967519e-05,0.00735305219269442,-0.464337830877154,"cg03301801","1",109264283,"FNDC7",""
"cg09321965",0.0252161950689783,0.701481300987762,4.18128471658014,3.54776488626479e-05,0.00758493939017329,-0.50210990855947,"cg09321965","1",198201193,"NEK7",""
"cg12554476",-0.0212090553328238,0.699864469358069,-4.17465348739166,3.64832380034939e-05,0.00773382809677455,-0.528743045647339,"cg12554476","16",20338808,"GP2;GP2;GP2;GP2;GP2;GP2;GP2;GP2",""
"cg24091474",-0.0174980947562669,0.184657122007527,-4.16954469202857,3.72764215523204e-05,0.00783556645974573,-0.549235127619681,"cg24091474","19",36399185,"TYROBP;TYROBP;TYROBP;TYROBP",""
"cg24192663",-0.0204534295763963,0.805122528543749,-4.16424539416751,3.811653044156e-05,0.00794539077054318,-0.570466987339007,"cg24192663","1",161493011,"HSPA6","chr1:161494024-161495356"
"cg18901940",-0.024994663947623,0.618158317619552,-4.15866525010946,3.90206466797318e-05,0.00806663186815546,-0.592797254467317,"cg18901940","10",69869364,"MYPN;MYPN",""
"cg02178898",0.0190710226203529,0.129890362381178,4.1561948086227,3.94274083964636e-05,0.00808391142318968,-0.602674523795621,"cg02178898","13",41837525,"MTRF1",""
"cg25132078",0.00363706905970706,0.0547520038102991,4.14952977319087,4.05450609558458e-05,0.00824548093292298,-0.629295624938393,"cg25132078","5",139682347,"PFDN1",""
"cg03764161",0.00358049493769988,0.0335797208628513,4.14689389902759,4.09953408469084e-05,0.00826981819310135,-0.639812844678964,"cg03764161","11",58912327,"FAM111A;FAM111A;FAM111A;FAM111A;FAM111A;FAM111A;FAM111A","chr11:58910127-58910584"
"cg19949550",0.0141805921259443,0.808657928430803,4.14278716223688,4.17063873257845e-05,0.00829749368722734,-0.656186608352632,"cg19949550","14",94423704,"ASB2;ASB2",""
"cg11769360",-0.013535297915607,0.759183273209161,-4.14227454647999,4.17959624446568e-05,0.00829749368722734,-0.658229385671955,"cg11769360","5",96215016,"ERAP2;ERAP2",""
"cg07823755",-0.016227044612002,0.869612578615891,-4.13840639187204,4.24778199995815e-05,0.00836645818479945,-0.673636513337007,"cg07823755","2",234668355,"UGT1A10;UGT1A1;UGT1A6;UGT1A8;UGT1A4;UGT1A3;UGT1A6;UGT1A9;UGT1A7;UGT1A5",""
"cg00037940",0.008034354075246,0.830440210706132,4.12029663559584,4.58134288247395e-05,0.00881782110646842,-0.745592803900685,"cg00037940","3",138479285,"PIK3CB",""
"cg20118424",-0.0341982554490622,0.715486795967799,-4.11764748114909,4.63217938511925e-05,0.00881782110646842,-0.756094458918501,"cg20118424","2",169887275,"ABCB11",""
"cg05961827",-0.0119422347149825,0.817945942166096,-4.11758660905532,4.63335378906868e-05,0.00881782110646842,-0.75633569218177,"cg05961827","2",234589810,"UGT1A10;UGT1A7;UGT1A9;UGT1A8",""
"cg02124291",-0.0116879974441019,0.731773615366914,-4.11751569982566,4.63472219657701e-05,0.00881782110646842,-0.756616698006605,"cg02124291","19",14939260,"OR7A5;OR7A5",""
"cg10586756",-0.0147687798818307,0.749036590397446,-4.11655995486757,4.65320375011526e-05,0.00881782110646842,-0.760403780210407,"cg10586756","16",56782283,"NUP93",""
"cg25463135",-0.0246374646204668,0.659653473545824,-4.11429577161017,4.69726730806774e-05,0.00883439431909822,-0.769372241421886,"cg25463135","1",89641171,"GBP7",""
"cg07165793",0.00849472692463047,0.0804181040026638,4.10817206631676,4.81843954029913e-05,0.00899466019858526,-0.79360556560945,"cg07165793","17",35969650,"SYNRG;SYNRG;SYNRG;SYNRG;SYNRG;SYNRG;SYNRG","chr17:35968980-35969757"
"cg11008571",-0.0167643484599049,0.665734450691989,-4.09299498482555,5.1317053796318e-05,0.0095084798789711,-0.853522495943972,"cg11008571","13",32990510,"N4BP2L1;N4BP2L1",""
"cg04761824",-0.0151615305230966,0.824491926459444,-4.08206073271698,5.36930112744235e-05,0.00987556605895903,-0.896562713347372,"cg04761824","9",117905075,"",""
"cg22332306",-0.0237353802838608,0.663488432493325,-4.06803923330644,5.68931429762033e-05,0.0103877742949398,-0.951599858448523,"cg22332306","3",56698168,"C3orf63;C3orf63",""
"cg02229946",-0.0187146623034758,0.733959428059929,-4.06186588583292,5.83588528377127e-05,0.0105781764121924,-0.975776088681179,"cg02229946","2",113669912,"IL1F7;IL1F7;IL1F7;IL1F7",""
"cg02441647",0.0126526341173346,0.121568671927068,4.05950881859547,5.89278923642573e-05,0.0106044769755362,-0.984997964465721,"cg02441647","3",99357499,"COL8A1;COL8A1;MIR548G;COL8A1;COL8A1",""
"cg24290574",0.00855298957171992,0.0975111914081948,4.05527329273402,5.99637034789856e-05,0.0107138005630239,-1.00155677923477,"cg24290574","3",148583152,"CPA3",""
"cg22067472",0.00848798326879947,0.0950676746482199,4.05293287113761,6.05434595432563e-05,0.0107406673547164,-1.01069983023418,"cg22067472","16",69458746,"CYB5B","chr16:69458264-69458626"
"cg24528447",0.00961777856922238,0.0725520986700119,4.05059003156162,6.11291471692446e-05,0.0107642088113228,-1.01984744876967,"cg24528447","5",92918517,"NR2F1","chr5:92919558-92921430"
"cg10130071",-0.0116621839533721,0.806465212364583,-4.04857424477775,6.16373800475804e-05,0.0107642088113228,-1.02771418245184,"cg10130071","18",33233658,"GALNT1",""
"cg23460697",-0.0151389064125827,0.694684749225279,-4.04727475586175,6.1967141154173e-05,0.0107642088113228,-1.03278360302933,"cg23460697","16",4902898,"UBN1;UBN1;UBN1",""
"cg22775000",0.00196961236109946,0.0244030334182931,4.03564410165222,6.49941393300054e-05,0.0112121613875914,-1.07808890690585,"cg22775000","9",103235181,"TMEFF1","chr9:103235171-103236627"
"cg25033972",0.0188750352789551,0.135882950535124,4.0314360547444,6.6123532522892e-05,0.0113288633049837,-1.09445100261885,"cg25033972","21",43188171,"RIPK4","chr21:43186280-43187436"
"cg18719571",0.0199216347495579,0.796882344864226,4.02568469257993,6.76973146072072e-05,0.0115195961060182,-1.11678845043199,"cg18719571","6",15664231,"DTNBP1;DTNBP1;DTNBP1","chr6:15662444-15663412"
"cg19815589",-0.0190692853102908,0.655958122257086,-4.01258884610584,7.14145739730614e-05,0.0119132741765562,-1.16754086532445,"cg19815589","11",70709062,"SHANK2",""
"cg10576828",-0.0110345931924427,0.758350845631355,-4.01250556883638,7.14388208494527e-05,0.0119132741765562,-1.1678631139446,"cg10576828","1",70225863,"LRRC7;LRRC7",""
